IDTransacao,IDCliente,NomeProduto,Quantidade,Preco,Data
1,C082,Vinho,1,34.14,2025-03-04
2,C029,Arroz,6,4.87,2025-05-20
3,C012,Hamburguer,1,2.83,2025-02-25
4,C030,Granola,5,2.74,2025-02-20
5,C092,Fermento,2,14.58,2025-03-13
6,C001,Macarrao,6,13.83,2025-03-13
7,C020,Carvao,3,4.86,2025-04-08
8,C013,Sabonete,3,18.9,2025-01-12
9,C094,Salsicha,5,5.5,2025-04-07
10,C011,Detergente,6,19.32,2025-04-03
11,C074,Cerveja,6,3.95,2025-02-28
12,C099,Detergente,1,25.95,2025-01-26
13,C049,Condicionador,4,19.8,2025-04-04
14,C021,Arroz_Integral,3,7.87,2025-03-10
15,C090,Cafe,5,19.78,2025-05-17
16,C094,Lenco_Umedecido,2,14.94,2025-03-11
17,C082,Fralda,6,11.08,2025-01-15
18,C030,Geleia,3,13.23,2025-01-17
19,C028,Biscoito,2,20.35,2025-04-12
20,C083,Salsicha,2,9.42,2025-03-05
21,C096,Shampoo,6,18.37,2025-05-30
22,C052,Arroz_Integral,2,29.93,2025-02-05
23,C066,Iogurte,1,23.16,2025-01-29
24,C020,Macarrao,6,13.82,2025-01-17
25,C050,Azeite,5,29.89,2025-05-16
26,C033,Pao,6,17.74,2025-05-18
27,C097,Condicionador,6,11.52,2025-03-17
28,C056,Macarrao,4,2.09,2025-03-09
29,C065,Molho_de_Tomate,5,27.55,2025-03-18
30,C082,Granola,5,7.57,2025-04-06
31,C098,Macarrao,5,28.7,2025-05-16
32,C001,Biscoito,4,2.55,2025-04-03
33,C040,Lenco_Umedecido,1,8.74,2025-05-26
34,C011,Acucar,6,12.49,2025-01-18
35,C098,Arroz,2,20.47,2025-05-21
36,C022,Shampoo,5,26.43,2025-04-19
37,C028,Cerveja,6,10.73,2025-04-06
38,C057,Pao_de_Hamburguer,1,8.94,2025-01-17
39,C044,Manteiga,5,17.51,2025-05-31
40,C029,Pao,1,17.46,2025-01-16
41,C030,Cafe,1,26.07,2025-01-19
42,C066,Lenco_Umedecido,3,20.73,2025-02-24
43,C070,Arroz,6,28.19,2025-05-27
44,C074,Pao_de_Hot_Dog,2,23.97,2025-04-15
45,C025,Queijo,1,30.67,2025-04-01
46,C055,Fermento,4,26.19,2025-01-14
47,C087,Queijo,1,19.91,2025-03-28
48,C014,Lenco_Umedecido,2,7.33,2025-04-25
49,C018,Hamburguer,2,9.8,2025-03-05
50,C010,Pao_de_Hamburguer,5,4.74,2025-05-19
51,C002,Acucar,2,5.33,2025-05-05
